testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
66 8388608 65536 512 61778 8287 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 8 1 2.82 2 67108864 8388608 23685481.41 16777216 0 0 0 0.00 0
67 8388608 65536 512 35500 14422 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 6 1 2.40 2 50331648 8388608 20132659.20 16777216 0 0 0 0.00 0
68 8388608 65536 512 34585 14804 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 6 1 2.40 2 50331648 8388608 20132659.20 16777216 0 0 0 0.00 0
69 8388608 65536 512 34724 14744 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 6 1 2.40 2 50331648 8388608 20132659.20 16777216 0 0 0 0.00 0
70 8388608 65536 512 24015 21319 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 3 1 1.71 2 25165824 8388608 14380470.86 16777216 0 0 0 0.00 0
71 8388608 65536 512 24100 21244 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 3 1 1.50 1 25165824 8388608 12582912.00 8388608 0 0 0 0.00 0
72 8388608 65536 512 24677 20747 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 3 1 1.71 2 25165824 8388608 14380470.86 16777216 0 0 0 0.00 0
73 8388608 65536 1024 62127 16482 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 12 1 3.11 2 100663296 8388608 26097891.56 16777216 0 0 0 0.00 0
74 8388608 65536 1024 61784 16573 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 12 1 3.11 2 100663296 8388608 26097891.56 16777216 0 0 0 0.00 0
75 8388608 65536 1024 62040 16505 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 12 1 3.11 2 100663296 8388608 26097891.56 16777216 0 0 0 0.00 0
76 8388608 65536 1024 34634 29565 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 6 1 2.55 2 50331648 8388608 21352820.36 16777216 0 0 0 0.00 0
77 8388608 65536 1024 36314 28198 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 6 1 2.55 2 50331648 8388608 21352820.36 16777216 0 0 0 0.00 0
78 8388608 65536 1024 36658 27933 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 6 1 2.55 2 50331648 8388608 21352820.36 16777216 0 0 0 0.00 0
79 8388608 65536 1024 22520 45469 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 3 1 1.75 2 25165824 8388608 14680064.00 16777216 0 0 0 0.00 0
80 8388608 65536 1024 22397 45719 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 3 1 1.75 2 25165824 8388608 14680064.00 16777216 0 0 0 0.00 0
81 8388608 65536 1024 23411 43739 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 3 1 1.75 2 25165824 8388608 14680064.00 16777216 0 0 0 0.00 0
82 8388608 65536 2048 77963 26268 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 12 1 3.37 2 100663296 8388608 28256363.79 16777216 0 0 0 0.00 0
83 8388608 65536 2048 78100 26222 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 12 1 3.37 2 100663296 8388608 28256363.79 16777216 0 0 0 0.00 0
84 8388608 65536 2048 77836 26311 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 12 1 3.37 2 100663296 8388608 28256363.79 16777216 0 0 0 0.00 0
85 8388608 65536 2048 43394 47195 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
86 8388608 65536 2048 43916 46634 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
87 8388608 65536 2048 43065 47555 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
88 8388608 65536 2048 26673 76780 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 3 1 1.78 2 25165824 8388608 14913080.89 16777216 0 0 0 0.00 0
89 8388608 65536 2048 25456 80451 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 3 1 1.60 2 25165824 8388608 13421772.80 16777216 0 0 0 0.00 0
90 8388608 65536 2048 25290 80980 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 3 1 1.78 2 25165824 8388608 14913080.89 16777216 0 0 0 0.00 0
